Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,785,0,5,14.39094434776556,2.711200000021563,391.78010099999483,43.0,6.6007032966634664,0.0,5,6,8,10,23,64,130,200,390,390,390
GET,GET /users/me,1983,0,8,46.55269322945283,4.425800000035451,2851.7808100000366,73.67423096318709,16.67413329590274,0.0,8,10,13,16,33,92,860,1300,2300,2900,2900
GET,GET /videos/[id]/stream,70,0,14,29.91041670000771,7.552399999894988,447.4153020000813,55.0,0.58859774619929,0.0,14,17,20,25,59,79,310,450,450,450,450
GET,GET /videos/videos,1499,0,9,42.88534902001645,4.826599999887549,1889.3238060001067,10.504336224149434,12.604400307896224,0.0,9,11,13,16,40,93,740,1100,1800,1900,1900
POST,POST /auth/login,100,0,1400,1449.1133340600004,376.4350010000044,3227.202511000087,161.68,0.8408539231418428,0.0,1400,1600,1900,1900,2100,2100,2700,3200,3200,3200,3200
POST,POST /auth/register,100,0,1500,1656.2964116300004,694.2835020000757,3479.3626120000454,73.68,0.8408539231418428,0.0,1500,1800,2000,2000,2500,2900,3200,3500,3500,3500,3500
POST,POST /videos/upload,284,0,13,58.515098728874186,6.445299999995768,2087.2240070000316,30.802816901408452,2.3880251417228338,0.0,13,19,28,41,60,120,950,1300,2100,2100,2100
,Aggregated,4821,0,8,103.12155402302578,2.711200000021563,3479.3626120000454,48.066998548019086,40.53756763466824,0.0,8,11,15,20,70,910,1600,2000,3000,3500,3500
