Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,6,0,1100,10483.28076399999,988.6150209999869,29292.919728000015,43.0,0.05285626435661403,0.0,1200,1200,29000,29000,29000,29000,29000,29000,29000,29000,29000
GET,GET /users/me,173,171,3,1390.5207290809265,2.5613000000248576,59789.98859399985,30.352601156069365,1.5240222889490378,1.5064035341634998,3,4,4,5,9,23,31000,59000,60000,60000,60000
GET,GET /videos/videos,102,101,3,301.0067808823676,2.5556000000506174,30177.659044999928,29.725490196078432,0.8985564940624384,0.8897471166696694,3,4,4,4,5,11,62,87,30000,30000,30000
POST,POST /auth/login,79,65,1000,21106.9614518481,2.5390999999217456,60004.152254000015,136.44303797468353,0.6959408140287514,0.5726095305299853,1000,31000,31000,60000,60000,60000,60000,60000,60000,60000,60000
POST,POST /auth/register,500,457,60000,55199.57953537203,678.7210050001704,60063.09561299986,142.596,4.404688696384502,4.025885468495435,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,POST /videos/upload,22,22,4,2742.5595409091043,3.7755000000743166,60003.40049800002,35.90909090909091,0.1938063026409181,0.1938063026409181,5,6,11,29,47,120,60000,60000,60000,60000,60000
,Aggregated,882,816,60000,33630.08899619848,2.5390999999217456,60063.09561299986,103.63718820861678,7.769870860422262,7.188451952499507,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
